bb_period,bb_std,rsi_oversold,ret_2024,sharpe_2024,dd_2024,trades_2024,ret_2025,sharpe_2025,dd_2025,trades_2025,score,avg_sharpe,min_return,all_positive
10,3.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
26,2.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
14,1.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
14,2.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
14,2.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
26,1.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
14,3.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
20,3.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
20,1.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
26,3.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
30,2.5,25,-0.1348026997175357,-3.6942221372144264,-0.16917375702746978,8,-0.017623638620747624,-0.3717522088862548,-0.08887421780248915,11,-2.6329871730503407,-2.0329871730503406,-0.1348026997175357,False
30,3.0,25,-0.1348026997175357,-3.6942221372144264,-0.16917375702746978,8,-0.017623638620747624,-0.3717522088862548,-0.08887421780248915,11,-2.6329871730503407,-2.0329871730503406,-0.1348026997175357,False
30,2.0,25,-0.1348026997175357,-3.6942221372144264,-0.16917375702746978,8,-0.017623638620747624,-0.3717522088862548,-0.08887421780248915,11,-2.6329871730503407,-2.0329871730503406,-0.1348026997175357,False
30,1.5,25,-0.1348026997175357,-3.6942221372144264,-0.16917375702746978,8,-0.017623638620747624,-0.3717522088862548,-0.08887421780248915,11,-2.6329871730503407,-2.0329871730503406,-0.1348026997175357,False
10,1.5,25,-0.1348026997175357,-3.6942221372144264,-0.16917375702746978,8,-0.017623638620747624,-0.3717522088862548,-0.08887421780248915,11,-2.6329871730503407,-2.0329871730503406,-0.1348026997175357,False
26,3.0,25,-0.1348026997175357,-3.6942221372144264,-0.16917375702746978,8,-0.017623638620747624,-0.3717522088862548,-0.08887421780248915,11,-2.6329871730503407,-2.0329871730503406,-0.1348026997175357,False
26,2.5,25,-0.1348026997175357,-3.6942221372144264,-0.16917375702746978,8,-0.017623638620747624,-0.3717522088862548,-0.08887421780248915,11,-2.6329871730503407,-2.0329871730503406,-0.1348026997175357,False
